"Tabela 7129 - Pessoas de 14 anos ou mais de idade, por cor ou raça e nível de instrução",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável - Pessoas de 14 anos ou mais de idade,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Cor ou raça,Nível de instrução,,
BR,1,Brasil,2016,Branca,Sem instrução,2837.0,Mil pessoas
BR,1,Brasil,2016,Branca,Ensino fundamental incompleto ou equivalente,18979.0,Mil pessoas
BR,1,Brasil,2016,Branca,Ensino fundamental completo ou equivalente,7319.0,Mil pessoas
BR,1,Brasil,2016,Branca,Ensino médio incompleto ou equivalente,5096.0,Mil pessoas
BR,1,Brasil,2016,Branca,Ensino médio completo ou equivalente,20893.0,Mil pessoas
BR,1,Brasil,2016,Branca,Ensino superior incompleto ou equivalente,4521.0,Mil pessoas
BR,1,Brasil,2016,Branca,Superior completo,13784.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Sem instrução,6694.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Ensino fundamental incompleto ou equivalente,30874.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Ensino fundamental completo ou equivalente,9592.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Ensino médio incompleto ou equivalente,7803.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Ensino médio completo ou equivalente,23351.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Ensino superior incompleto ou equivalente,3390.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Superior completo,6121.0,Mil pessoas
BR,1,Brasil,2017,Branca,Sem instrução,2517.0,Mil pessoas
BR,1,Brasil,2017,Branca,Ensino fundamental incompleto ou equivalente,18560.0,Mil pessoas
BR,1,Brasil,2017,Branca,Ensino fundamental completo ou equivalente,6626.0,Mil pessoas
BR,1,Brasil,2017,Branca,Ensino médio incompleto ou equivalente,5222.0,Mil pessoas
BR,1,Brasil,2017,Branca,Ensino médio completo ou equivalente,20468.0,Mil pessoas
