"Tabela 7131 - Pessoas de 14 anos ou mais de idade, por sexo e grupos de anos de estudo",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Variável - Pessoas de 14 anos ou mais de idade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Grupos de anos de estudo,Ano x Sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Grupos de anos de estudo,2016,,,,2017,,,,2018,,,,2019,,,,2022,,,,2023,,,,2024,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Grupos de anos de estudo,Homens,,Mulheres,,Homens,,Mulheres,,Homens,,Mulheres,,Homens,,Mulheres,,Homens,,Mulheres,,Homens,,Mulheres,,Homens,,Mulheres,
BR,1,Brasil,Sem instrução ou menos de 5 anos,12636,Mil pessoas,12436,Mil pessoas,11634,Mil pessoas,11538,Mil pessoas,11164,Mil pessoas,11119,Mil pessoas,10965,Mil pessoas,10789,Mil pessoas,10557,Mil pessoas,10478,Mil pessoas,10639,Mil pessoas,10505,Mil pessoas,10386,Mil pessoas,10335,Mil pessoas
BR,1,Brasil,5 a 8 anos,17713,Mil pessoas,16978,Mil pessoas,18445,Mil pessoas,17601,Mil pessoas,18551,Mil pessoas,17549,Mil pessoas,17982,Mil pessoas,17130,Mil pessoas,16752,Mil pessoas,16051,Mil pessoas,16142,Mil pessoas,15728,Mil pessoas,15589,Mil pessoas,15086,Mil pessoas
BR,1,Brasil,9 a 11 anos,14779,Mil pessoas,14596,Mil pessoas,14828,Mil pessoas,14454,Mil pessoas,14553,Mil pessoas,14118,Mil pessoas,14598,Mil pessoas,14057,Mil pessoas,14707,Mil pessoas,14094,Mil pessoas,14446,Mil pessoas,14005,Mil pessoas,14426,Mil pessoas,13884,Mil pessoas
BR,1,Brasil,12 anos ou mais,33550,Mil pessoas,39961,Mil pessoas,34677,Mil pessoas,41367,Mil pessoas,36182,Mil pessoas,43118,Mil pessoas,37754,Mil pessoas,44854,Mil pessoas,41640,Mil pessoas,48790,Mil pessoas,43161,Mil pessoas,49982,Mil pessoas,44685,Mil pessoas,51690,Mil pessoas
GR,1,Norte,Sem instrução ou menos de 5 anos,1348,Mil pessoas,1085,Mil pessoas,1227,Mil pessoas,1004,Mil pessoas,1198,Mil pessoas,963,Mil pessoas,1169,Mil pessoas,948,Mil pessoas,1126,Mil pessoas,923,Mil pessoas,1132,Mil pessoas,944,Mil pessoas,1110,Mil pessoas,912,Mil pessoas
GR,1,Norte,5 a 8 anos,1532,Mil pessoas,1341,Mil pessoas,1635,Mil pessoas,1401,Mil pessoas,1665,Mil pessoas,1443,Mil pessoas,1633,Mil pessoas,1392,Mil pessoas,1587,Mil pessoas,1337,Mil pessoas,1514,Mil pessoas,1343,Mil pessoas,1455,Mil pessoas,1218,Mil pessoas
GR,1,Norte,9 a 11 anos,1232,Mil pessoas,1235,Mil pessoas,1238,Mil pessoas,1213,Mil pessoas,1261,Mil pessoas,1193,Mil pessoas,1262,Mil pessoas,1214,Mil pessoas,1306,Mil pessoas,1230,Mil pessoas,1298,Mil pessoas,1244,Mil pessoas,1352,Mil pessoas,1219,Mil pessoas
GR,1,Norte,12 anos ou mais,2247,Mil pessoas,2796,Mil pessoas,2379,Mil pessoas,3008,Mil pessoas,2605,Mil pessoas,3138,Mil pessoas,2711,Mil pessoas,3317,Mil pessoas,3151,Mil pessoas,3741,Mil pessoas,3254,Mil pessoas,3909,Mil pessoas,3441,Mil pessoas,4152,Mil pessoas
