"Tabela 7132 - Pessoas de 14 anos ou mais de idade, por cor ou raça e grupos de anos de estudo",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Variável - Pessoas de 14 anos ou mais de idade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Grupos de anos de estudo,Ano x Cor ou raça,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Grupos de anos de estudo,2016,,,,2017,,,,2018,,,,2019,,,,2022,,,,2023,,,,2024,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Grupos de anos de estudo,Branca,,Preta ou parda,,Branca,,Preta ou parda,,Branca,,Preta ou parda,,Branca,,Preta ou parda,,Branca,,Preta ou parda,,Branca,,Preta ou parda,,Branca,,Preta ou parda,
BR,1,Brasil,,73431,Mil pessoas,87824,Mil pessoas,71988,Mil pessoas,91154,Mil pessoas,71555,Mil pessoas,92926,Mil pessoas,71904,Mil pessoas,94380,Mil pessoas,74847,Mil pessoas,96192,Mil pessoas,74975,Mil pessoas,97509,Mil pessoas,74630,Mil pessoas,99445,Mil pessoas
GR,1,Norte,,2361,Mil pessoas,10304,Mil pessoas,2433,Mil pessoas,10532,Mil pessoas,2426,Mil pessoas,10810,Mil pessoas,2472,Mil pessoas,10974,Mil pessoas,2795,Mil pessoas,11369,Mil pessoas,2740,Mil pessoas,11653,Mil pessoas,2886,Mil pessoas,11705,Mil pessoas
GR,2,Nordeste,,10522,Mil pessoas,32651,Mil pessoas,10365,Mil pessoas,33421,Mil pessoas,10523,Mil pessoas,33537,Mil pessoas,10614,Mil pessoas,33795,Mil pessoas,11364,Mil pessoas,34128,Mil pessoas,11517,Mil pessoas,34250,Mil pessoas,11474,Mil pessoas,34778,Mil pessoas
GR,3,Sudeste,,37592,Mil pessoas,32102,Mil pessoas,36440,Mil pessoas,33864,Mil pessoas,35945,Mil pessoas,34741,Mil pessoas,36162,Mil pessoas,35403,Mil pessoas,37617,Mil pessoas,35846,Mil pessoas,37647,Mil pessoas,36350,Mil pessoas,37190,Mil pessoas,37301,Mil pessoas
GR,4,Sul,,18566,Mil pessoas,5079,Mil pessoas,18385,Mil pessoas,5423,Mil pessoas,18151,Mil pessoas,5861,Mil pessoas,18070,Mil pessoas,6133,Mil pessoas,18283,Mil pessoas,6476,Mil pessoas,18177,Mil pessoas,6756,Mil pessoas,18185,Mil pessoas,6995,Mil pessoas
GR,5,Centro-Oeste,,4387,Mil pessoas,7691,Mil pessoas,4365,Mil pessoas,7915,Mil pessoas,4509,Mil pessoas,7977,Mil pessoas,4584,Mil pessoas,8075,Mil pessoas,4785,Mil pessoas,8372,Mil pessoas,4894,Mil pessoas,8498,Mil pessoas,4895,Mil pessoas,8666,Mil pessoas
UF,11,Rondônia,,377,Mil pessoas,901,Mil pessoas,386,Mil pessoas,929,Mil pessoas,382,Mil pessoas,957,Mil pessoas,385,Mil pessoas,981,Mil pessoas,420,Mil pessoas,1014,Mil pessoas,442,Mil pessoas,1023,Mil pessoas,407,Mil pessoas,1074,Mil pessoas
UF,12,Acre,,100,Mil pessoas,488,Mil pessoas,109,Mil pessoas,498,Mil pessoas,112,Mil pessoas,501,Mil pessoas,109,Mil pessoas,523,Mil pessoas,124,Mil pessoas,552,Mil pessoas,112,Mil pessoas,566,Mil pessoas,127,Mil pessoas,557,Mil pessoas
UF,13,Amazonas,,433,Mil pessoas,2237,Mil pessoas,469,Mil pessoas,2279,Mil pessoas,462,Mil pessoas,2391,Mil pessoas,468,Mil pessoas,2409,Mil pessoas,528,Mil pessoas,2482,Mil pessoas,506,Mil pessoas,2531,Mil pessoas,542,Mil pessoas,2570,Mil pessoas
UF,14,Roraima,,75,Mil pessoas,252,Mil pessoas,81,Mil pessoas,263,Mil pessoas,78,Mil pessoas,275,Mil pessoas,80,Mil pessoas,286,Mil pessoas,82,Mil pessoas,338,Mil pessoas,92,Mil pessoas,327,Mil pessoas,96,Mil pessoas,339,Mil pessoas
UF,15,Pará,,1018,Mil pessoas,5101,Mil pessoas,1046,Mil pessoas,5161,Mil pessoas,1039,Mil pessoas,5266,Mil pessoas,1089,Mil pessoas,5301,Mil pessoas,1245,Mil pessoas,5468,Mil pessoas,1222,Mil pessoas,5639,Mil pessoas,1305,Mil pessoas,5599,Mil pessoas
UF,16,Amapá,,108,Mil pessoas,444,Mil pessoas,99,Mil pessoas,488,Mil pessoas,99,Mil pessoas,497,Mil pessoas,105,Mil pessoas,520,Mil pessoas,129,Mil pessoas,533,Mil pessoas,112,Mil pessoas,573,Mil pessoas,132,Mil pessoas,563,Mil pessoas
UF,17,Tocantins,,252,Mil pessoas,880,Mil pessoas,242,Mil pessoas,911,Mil pessoas,253,Mil pessoas,925,Mil pessoas,236,Mil pessoas,956,Mil pessoas,267,Mil pessoas,980,Mil pessoas,253,Mil pessoas,995,Mil pessoas,278,Mil pessoas,1005,Mil pessoas
UF,21,Maranhão,,964,Mil pessoas,4067,Mil pessoas,888,Mil pessoas,4207,Mil pessoas,934,Mil pessoas,4230,Mil pessoas,964,Mil pessoas,4288,Mil pessoas,948,Mil pessoas,4448,Mil pessoas,975,Mil pessoas,4501,Mil pessoas,979,Mil pessoas,4589,Mil pessoas
UF,22,Piauí,,485,Mil pessoas,2034,Mil pessoas,512,Mil pessoas,2025,Mil pessoas,452,Mil pessoas,2088,Mil pessoas,444,Mil pessoas,2103,Mil pessoas,547,Mil pessoas,2086,Mil pessoas,530,Mil pessoas,2101,Mil pessoas,520,Mil pessoas,2116,Mil pessoas
UF,23,Ceará,,1838,Mil pessoas,5106,Mil pessoas,1876,Mil pessoas,5213,Mil pessoas,1862,Mil pessoas,5282,Mil pessoas,1888,Mil pessoas,5280,Mil pessoas,2094,Mil pessoas,5363,Mil pessoas,1948,Mil pessoas,5471,Mil pessoas,1908,Mil pessoas,5584,Mil pessoas
UF,24,Rio Grande do Norte,,979,Mil pessoas,1738,Mil pessoas,961,Mil pessoas,1780,Mil pessoas,1005,Mil pessoas,1760,Mil pessoas,1004,Mil pessoas,1782,Mil pessoas,1042,Mil pessoas,1851,Mil pessoas,1053,Mil pessoas,1863,Mil pessoas,1091,Mil pessoas,1842,Mil pessoas
UF,25,Paraíba,,1029,Mil pessoas,2032,Mil pessoas,982,Mil pessoas,2117,Mil pessoas,993,Mil pessoas,2129,Mil pessoas,990,Mil pessoas,2153,Mil pessoas,987,Mil pessoas,2202,Mil pessoas,1035,Mil pessoas,2156,Mil pessoas,1068,Mil pessoas,2173,Mil pessoas
UF,26,Pernambuco,,2199,Mil pessoas,5127,Mil pessoas,2124,Mil pessoas,5264,Mil pessoas,2304,Mil pessoas,5112,Mil pessoas,2298,Mil pessoas,5170,Mil pessoas,2461,Mil pessoas,5141,Mil pessoas,2607,Mil pessoas,5122,Mil pessoas,2523,Mil pessoas,5247,Mil pessoas
UF,27,Alagoas,,576,Mil pessoas,1930,Mil pessoas,567,Mil pessoas,1975,Mil pessoas,589,Mil pessoas,1975,Mil pessoas,609,Mil pessoas,1959,Mil pessoas,678,Mil pessoas,1906,Mil pessoas,667,Mil pessoas,1929,Mil pessoas,689,Mil pessoas,1941,Mil pessoas
UF,28,Sergipe,,371,Mil pessoas,1364,Mil pessoas,352,Mil pessoas,1411,Mil pessoas,361,Mil pessoas,1385,Mil pessoas,396,Mil pessoas,1403,Mil pessoas,454,Mil pessoas,1403,Mil pessoas,429,Mil pessoas,1407,Mil pessoas,444,Mil pessoas,1450,Mil pessoas
UF,29,Bahia,,2081,Mil pessoas,9250,Mil pessoas,2101,Mil pessoas,9429,Mil pessoas,2026,Mil pessoas,9577,Mil pessoas,2021,Mil pessoas,9657,Mil pessoas,2153,Mil pessoas,9730,Mil pessoas,2272,Mil pessoas,9700,Mil pessoas,2254,Mil pessoas,9837,Mil pessoas
UF,31,Minas Gerais,,6957,Mil pessoas,9898,Mil pessoas,6668,Mil pessoas,10244,Mil pessoas,6783,Mil pessoas,10321,Mil pessoas,6805,Mil pessoas,10453,Mil pessoas,7140,Mil pessoas,10376,Mil pessoas,7171,Mil pessoas,10481,Mil pessoas,7130,Mil pessoas,10585,Mil pessoas
UF,32,Espírito Santo,,1255,Mil pessoas,1833,Mil pessoas,1227,Mil pessoas,1900,Mil pessoas,1206,Mil pessoas,1937,Mil pessoas,1136,Mil pessoas,2017,Mil pessoas,1211,Mil pessoas,2108,Mil pessoas,1255,Mil pessoas,2092,Mil pessoas,1259,Mil pessoas,2119,Mil pessoas
UF,33,Rio de Janeiro,,6345,Mil pessoas,7554,Mil pessoas,6105,Mil pessoas,8075,Mil pessoas,6425,Mil pessoas,7793,Mil pessoas,6489,Mil pessoas,7837,Mil pessoas,6754,Mil pessoas,7913,Mil pessoas,6766,Mil pessoas,7879,Mil pessoas,6621,Mil pessoas,8049,Mil pessoas
UF,35,São Paulo,,23038,Mil pessoas,12816,Mil pessoas,22441,Mil pessoas,13643,Mil pessoas,21530,Mil pessoas,14690,Mil pessoas,21732,Mil pessoas,15096,Mil pessoas,22510,Mil pessoas,15447,Mil pessoas,22453,Mil pessoas,15899,Mil pessoas,22181,Mil pessoas,16547,Mil pessoas
UF,41,Paraná,,6138,Mil pessoas,2734,Mil pessoas,6110,Mil pessoas,2844,Mil pessoas,6070,Mil pessoas,2961,Mil pessoas,5864,Mil pessoas,3198,Mil pessoas,5984,Mil pessoas,3324,Mil pessoas,6128,Mil pessoas,3318,Mil pessoas,6046,Mil pessoas,3473,Mil pessoas
UF,42,Santa Catarina,,4848,Mil pessoas,739,Mil pessoas,4766,Mil pessoas,889,Mil pessoas,4647,Mil pessoas,1086,Mil pessoas,4728,Mil pessoas,1067,Mil pessoas,4732,Mil pessoas,1225,Mil pessoas,4722,Mil pessoas,1319,Mil pessoas,4769,Mil pessoas,1376,Mil pessoas
UF,43,Rio Grande do Sul,,7580,Mil pessoas,1605,Mil pessoas,7512,Mil pessoas,1690,Mil pessoas,7434,Mil pessoas,1814,Mil pessoas,7480,Mil pessoas,1868,Mil pessoas,7567,Mil pessoas,1926,Mil pessoas,7327,Mil pessoas,2122,Mil pessoas,7368,Mil pessoas,2145,Mil pessoas
UF,50,Mato Grosso do Sul,,856,Mil pessoas,1146,Mil pessoas,896,Mil pessoas,1137,Mil pessoas,916,Mil pessoas,1122,Mil pessoas,891,Mil pessoas,1172,Mil pessoas,907,Mil pessoas,1224,Mil pessoas,950,Mil pessoas,1247,Mil pessoas,911,Mil pessoas,1303,Mil pessoas
UF,51,Mato Grosso,,823,Mil pessoas,1720,Mil pessoas,816,Mil pessoas,1744,Mil pessoas,812,Mil pessoas,1812,Mil pessoas,795,Mil pessoas,1840,Mil pessoas,822,Mil pessoas,1900,Mil pessoas,871,Mil pessoas,1898,Mil pessoas,865,Mil pessoas,1919,Mil pessoas
UF,52,Goiás,,1877,Mil pessoas,3374,Mil pessoas,1857,Mil pessoas,3511,Mil pessoas,1902,Mil pessoas,3540,Mil pessoas,1949,Mil pessoas,3587,Mil pessoas,2096,Mil pessoas,3715,Mil pessoas,2101,Mil pessoas,3770,Mil pessoas,2134,Mil pessoas,3839,Mil pessoas
UF,53,Distrito Federal,,833,Mil pessoas,1452,Mil pessoas,796,Mil pessoas,1523,Mil pessoas,882,Mil pessoas,1503,Mil pessoas,949,Mil pessoas,1476,Mil pessoas,960,Mil pessoas,1533,Mil pessoas,973,Mil pessoas,1583,Mil pessoas,985,Mil pessoas,1606,Mil pessoas
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A categoria Total para ""Cor ou raça"" inclui as pessoas que se declaram indígenas, amarelas ou sem declaração.
A partir de 01 de agosto de 2022, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Símbolo,Significado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
