"Tabela 7133 - Pessoas de 25 anos ou mais de idade, por sexo e grupos de anos de estudo",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável - Pessoas de 25 anos ou mais de idade,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Sexo,Grupos de anos de estudo,,
BR,1,Brasil,2016,Homens,Sem instrução ou menos de 5 anos,11688.0,Mil pessoas
BR,1,Brasil,2016,Homens,5 a 8 anos,13335.0,Mil pessoas
BR,1,Brasil,2016,Homens,9 a 11 anos,8085.0,Mil pessoas
BR,1,Brasil,2016,Homens,12 anos ou mais,26671.0,Mil pessoas
BR,1,Brasil,2016,Mulheres,Sem instrução ou menos de 5 anos,11901.0,Mil pessoas
BR,1,Brasil,2016,Mulheres,5 a 8 anos,13738.0,Mil pessoas
BR,1,Brasil,2016,Mulheres,9 a 11 anos,8247.0,Mil pessoas
BR,1,Brasil,2016,Mulheres,12 anos ou mais,31594.0,Mil pessoas
BR,1,Brasil,2017,Homens,Sem instrução ou menos de 5 anos,10897.0,Mil pessoas
BR,1,Brasil,2017,Homens,5 a 8 anos,14087.0,Mil pessoas
BR,1,Brasil,2017,Homens,9 a 11 anos,8256.0,Mil pessoas
BR,1,Brasil,2017,Homens,12 anos ou mais,27575.0,Mil pessoas
BR,1,Brasil,2017,Mulheres,Sem instrução ou menos de 5 anos,11163.0,Mil pessoas
BR,1,Brasil,2017,Mulheres,5 a 8 anos,14261.0,Mil pessoas
BR,1,Brasil,2017,Mulheres,9 a 11 anos,8244.0,Mil pessoas
BR,1,Brasil,2017,Mulheres,12 anos ou mais,32969.0,Mil pessoas
BR,1,Brasil,2018,Homens,Sem instrução ou menos de 5 anos,10561.0,Mil pessoas
BR,1,Brasil,2018,Homens,5 a 8 anos,14233.0,Mil pessoas
BR,1,Brasil,2018,Homens,9 a 11 anos,8190.0,Mil pessoas
BR,1,Brasil,2018,Homens,12 anos ou mais,28839.0,Mil pessoas
BR,1,Brasil,2018,Mulheres,Sem instrução ou menos de 5 anos,10790.0,Mil pessoas
BR,1,Brasil,2018,Mulheres,5 a 8 anos,14311.0,Mil pessoas
BR,1,Brasil,2018,Mulheres,9 a 11 anos,8128.0,Mil pessoas
BR,1,Brasil,2018,Mulheres,12 anos ou mais,34532.0,Mil pessoas
BR,1,Brasil,2019,Homens,Sem instrução ou menos de 5 anos,10409.0,Mil pessoas
BR,1,Brasil,2019,Homens,5 a 8 anos,13907.0,Mil pessoas
BR,1,Brasil,2019,Homens,9 a 11 anos,8388.0,Mil pessoas
BR,1,Brasil,2019,Homens,12 anos ou mais,30126.0,Mil pessoas
BR,1,Brasil,2019,Mulheres,Sem instrução ou menos de 5 anos,10504.0,Mil pessoas
BR,1,Brasil,2019,Mulheres,5 a 8 anos,14110.0,Mil pessoas
BR,1,Brasil,2019,Mulheres,9 a 11 anos,8172.0,Mil pessoas
BR,1,Brasil,2019,Mulheres,12 anos ou mais,36092.0,Mil pessoas
BR,1,Brasil,2022,Homens,Sem instrução ou menos de 5 anos,10136.0,Mil pessoas
BR,1,Brasil,2022,Homens,5 a 8 anos,13218.0,Mil pessoas
BR,1,Brasil,2022,Homens,9 a 11 anos,8718.0,Mil pessoas
BR,1,Brasil,2022,Homens,12 anos ou mais,33815.0,Mil pessoas
BR,1,Brasil,2022,Mulheres,Sem instrução ou menos de 5 anos,10217.0,Mil pessoas
BR,1,Brasil,2022,Mulheres,5 a 8 anos,13370.0,Mil pessoas
BR,1,Brasil,2022,Mulheres,9 a 11 anos,8479.0,Mil pessoas
BR,1,Brasil,2022,Mulheres,12 anos ou mais,40158.0,Mil pessoas
BR,1,Brasil,2023,Homens,Sem instrução ou menos de 5 anos,10221.0,Mil pessoas
BR,1,Brasil,2023,Homens,5 a 8 anos,12838.0,Mil pessoas
BR,1,Brasil,2023,Homens,9 a 11 anos,8501.0,Mil pessoas
BR,1,Brasil,2023,Homens,12 anos ou mais,35342.0,Mil pessoas
BR,1,Brasil,2023,Mulheres,Sem instrução ou menos de 5 anos,10251.0,Mil pessoas
BR,1,Brasil,2023,Mulheres,5 a 8 anos,13091.0,Mil pessoas
BR,1,Brasil,2023,Mulheres,9 a 11 anos,8465.0,Mil pessoas
BR,1,Brasil,2023,Mulheres,12 anos ou mais,41517.0,Mil pessoas
BR,1,Brasil,2024,Homens,Sem instrução ou menos de 5 anos,9965.0,Mil pessoas
BR,1,Brasil,2024,Homens,5 a 8 anos,12482.0,Mil pessoas
BR,1,Brasil,2024,Homens,9 a 11 anos,8491.0,Mil pessoas
BR,1,Brasil,2024,Homens,12 anos ou mais,36948.0,Mil pessoas
BR,1,Brasil,2024,Mulheres,Sem instrução ou menos de 5 anos,10108.0,Mil pessoas
BR,1,Brasil,2024,Mulheres,5 a 8 anos,12594.0,Mil pessoas
BR,1,Brasil,2024,Mulheres,9 a 11 anos,8384.0,Mil pessoas
BR,1,Brasil,2024,Mulheres,12 anos ou mais,43300.0,Mil pessoas
GR,1,Norte,2016,Homens,Sem instrução ou menos de 5 anos,1206.0,Mil pessoas
GR,1,Norte,2016,Homens,5 a 8 anos,1035.0,Mil pessoas
GR,1,Norte,2016,Homens,9 a 11 anos,573.0,Mil pessoas
GR,1,Norte,2016,Homens,12 anos ou mais,1685.0,Mil pessoas
GR,1,Norte,2016,Mulheres,Sem instrução ou menos de 5 anos,994.0,Mil pessoas
GR,1,Norte,2016,Mulheres,5 a 8 anos,921.0,Mil pessoas
GR,1,Norte,2016,Mulheres,9 a 11 anos,580.0,Mil pessoas
GR,1,Norte,2016,Mulheres,12 anos ou mais,2112.0,Mil pessoas
GR,1,Norte,2017,Homens,Sem instrução ou menos de 5 anos,1117.0,Mil pessoas
GR,1,Norte,2017,Homens,5 a 8 anos,1111.0,Mil pessoas
GR,1,Norte,2017,Homens,9 a 11 anos,609.0,Mil pessoas
GR,1,Norte,2017,Homens,12 anos ou mais,1782.0,Mil pessoas
GR,1,Norte,2017,Mulheres,Sem instrução ou menos de 5 anos,932.0,Mil pessoas
GR,1,Norte,2017,Mulheres,5 a 8 anos,986.0,Mil pessoas
GR,1,Norte,2017,Mulheres,9 a 11 anos,579.0,Mil pessoas
GR,1,Norte,2017,Mulheres,12 anos ou mais,2296.0,Mil pessoas
GR,1,Norte,2018,Homens,Sem instrução ou menos de 5 anos,1106.0,Mil pessoas
GR,1,Norte,2018,Homens,5 a 8 anos,1154.0,Mil pessoas
GR,1,Norte,2018,Homens,9 a 11 anos,625.0,Mil pessoas
GR,1,Norte,2018,Homens,12 anos ou mais,1976.0,Mil pessoas
GR,1,Norte,2018,Mulheres,Sem instrução ou menos de 5 anos,908.0,Mil pessoas
GR,1,Norte,2018,Mulheres,5 a 8 anos,1027.0,Mil pessoas
GR,1,Norte,2018,Mulheres,9 a 11 anos,570.0,Mil pessoas
GR,1,Norte,2018,Mulheres,12 anos ou mais,2416.0,Mil pessoas
GR,1,Norte,2019,Homens,Sem instrução ou menos de 5 anos,1070.0,Mil pessoas
GR,1,Norte,2019,Homens,5 a 8 anos,1128.0,Mil pessoas
GR,1,Norte,2019,Homens,9 a 11 anos,621.0,Mil pessoas
GR,1,Norte,2019,Homens,12 anos ou mais,2063.0,Mil pessoas
GR,1,Norte,2019,Mulheres,Sem instrução ou menos de 5 anos,892.0,Mil pessoas
GR,1,Norte,2019,Mulheres,5 a 8 anos,991.0,Mil pessoas
GR,1,Norte,2019,Mulheres,9 a 11 anos,569.0,Mil pessoas
GR,1,Norte,2019,Mulheres,12 anos ou mais,2554.0,Mil pessoas
GR,1,Norte,2022,Homens,Sem instrução ou menos de 5 anos,1061.0,Mil pessoas
GR,1,Norte,2022,Homens,5 a 8 anos,1131.0,Mil pessoas
GR,1,Norte,2022,Homens,9 a 11 anos,645.0,Mil pessoas
GR,1,Norte,2022,Homens,12 anos ou mais,2409.0,Mil pessoas
GR,1,Norte,2022,Mulheres,Sem instrução ou menos de 5 anos,882.0,Mil pessoas
GR,1,Norte,2022,Mulheres,5 a 8 anos,976.0,Mil pessoas
GR,1,Norte,2022,Mulheres,9 a 11 anos,622.0,Mil pessoas
GR,1,Norte,2022,Mulheres,12 anos ou mais,2949.0,Mil pessoas
GR,1,Norte,2023,Homens,Sem instrução ou menos de 5 anos,1064.0,Mil pessoas
GR,1,Norte,2023,Homens,5 a 8 anos,1069.0,Mil pessoas
GR,1,Norte,2023,Homens,9 a 11 anos,662.0,Mil pessoas
GR,1,Norte,2023,Homens,12 anos ou mais,2544.0,Mil pessoas
GR,1,Norte,2023,Mulheres,Sem instrução ou menos de 5 anos,906.0,Mil pessoas
GR,1,Norte,2023,Mulheres,5 a 8 anos,963.0,Mil pessoas
GR,1,Norte,2023,Mulheres,9 a 11 anos,627.0,Mil pessoas
GR,1,Norte,2023,Mulheres,12 anos ou mais,3076.0,Mil pessoas
GR,1,Norte,2024,Homens,Sem instrução ou menos de 5 anos,1058.0,Mil pessoas
GR,1,Norte,2024,Homens,5 a 8 anos,1039.0,Mil pessoas
GR,1,Norte,2024,Homens,9 a 11 anos,689.0,Mil pessoas
GR,1,Norte,2024,Homens,12 anos ou mais,2705.0,Mil pessoas
GR,1,Norte,2024,Mulheres,Sem instrução ou menos de 5 anos,875.0,Mil pessoas
GR,1,Norte,2024,Mulheres,5 a 8 anos,902.0,Mil pessoas
GR,1,Norte,2024,Mulheres,9 a 11 anos,625.0,Mil pessoas
GR,1,Norte,2024,Mulheres,12 anos ou mais,3315.0,Mil pessoas
GR,2,Nordeste,2016,Homens,Sem instrução ou menos de 5 anos,5119.0,Mil pessoas
GR,2,Nordeste,2016,Homens,5 a 8 anos,3321.0,Mil pessoas
GR,2,Nordeste,2016,Homens,9 a 11 anos,1758.0,Mil pessoas
GR,2,Nordeste,2016,Homens,12 anos ou mais,5199.0,Mil pessoas
GR,2,Nordeste,2016,Mulheres,Sem instrução ou menos de 5 anos,4755.0,Mil pessoas
GR,2,Nordeste,2016,Mulheres,5 a 8 anos,3534.0,Mil pessoas
GR,2,Nordeste,2016,Mulheres,9 a 11 anos,1899.0,Mil pessoas
GR,2,Nordeste,2016,Mulheres,12 anos ou mais,7001.0,Mil pessoas
GR,2,Nordeste,2017,Homens,Sem instrução ou menos de 5 anos,4923.0,Mil pessoas
GR,2,Nordeste,2017,Homens,5 a 8 anos,3554.0,Mil pessoas
GR,2,Nordeste,2017,Homens,9 a 11 anos,1806.0,Mil pessoas
GR,2,Nordeste,2017,Homens,12 anos ou mais,5447.0,Mil pessoas
GR,2,Nordeste,2017,Mulheres,Sem instrução ou menos de 5 anos,4573.0,Mil pessoas
GR,2,Nordeste,2017,Mulheres,5 a 8 anos,3690.0,Mil pessoas
GR,2,Nordeste,2017,Mulheres,9 a 11 anos,1909.0,Mil pessoas
GR,2,Nordeste,2017,Mulheres,12 anos ou mais,7299.0,Mil pessoas
GR,2,Nordeste,2018,Homens,Sem instrução ou menos de 5 anos,4774.0,Mil pessoas
GR,2,Nordeste,2018,Homens,5 a 8 anos,3617.0,Mil pessoas
GR,2,Nordeste,2018,Homens,9 a 11 anos,1803.0,Mil pessoas
GR,2,Nordeste,2018,Homens,12 anos ou mais,5781.0,Mil pessoas
GR,2,Nordeste,2018,Mulheres,Sem instrução ou menos de 5 anos,4415.0,Mil pessoas
GR,2,Nordeste,2018,Mulheres,5 a 8 anos,3667.0,Mil pessoas
GR,2,Nordeste,2018,Mulheres,9 a 11 anos,1936.0,Mil pessoas
GR,2,Nordeste,2018,Mulheres,12 anos ou mais,7795.0,Mil pessoas
GR,2,Nordeste,2019,Homens,Sem instrução ou menos de 5 anos,4761.0,Mil pessoas
GR,2,Nordeste,2019,Homens,5 a 8 anos,3538.0,Mil pessoas
GR,2,Nordeste,2019,Homens,9 a 11 anos,1845.0,Mil pessoas
GR,2,Nordeste,2019,Homens,12 anos ou mais,6051.0,Mil pessoas
GR,2,Nordeste,2019,Mulheres,Sem instrução ou menos de 5 anos,4397.0,Mil pessoas
GR,2,Nordeste,2019,Mulheres,5 a 8 anos,3630.0,Mil pessoas
GR,2,Nordeste,2019,Mulheres,9 a 11 anos,1936.0,Mil pessoas
GR,2,Nordeste,2019,Mulheres,12 anos ou mais,8068.0,Mil pessoas
GR,2,Nordeste,2022,Homens,Sem instrução ou menos de 5 anos,4577.0,Mil pessoas
GR,2,Nordeste,2022,Homens,5 a 8 anos,3482.0,Mil pessoas
GR,2,Nordeste,2022,Homens,9 a 11 anos,2017.0,Mil pessoas
GR,2,Nordeste,2022,Homens,12 anos ou mais,6853.0,Mil pessoas
GR,2,Nordeste,2022,Mulheres,Sem instrução ou menos de 5 anos,4116.0,Mil pessoas
GR,2,Nordeste,2022,Mulheres,5 a 8 anos,3598.0,Mil pessoas
GR,2,Nordeste,2022,Mulheres,9 a 11 anos,2145.0,Mil pessoas
GR,2,Nordeste,2022,Mulheres,12 anos ou mais,9107.0,Mil pessoas
GR,2,Nordeste,2023,Homens,Sem instrução ou menos de 5 anos,4500.0,Mil pessoas
GR,2,Nordeste,2023,Homens,5 a 8 anos,3458.0,Mil pessoas
GR,2,Nordeste,2023,Homens,9 a 11 anos,1967.0,Mil pessoas
GR,2,Nordeste,2023,Homens,12 anos ou mais,7282.0,Mil pessoas
GR,2,Nordeste,2023,Mulheres,Sem instrução ou menos de 5 anos,4084.0,Mil pessoas
GR,2,Nordeste,2023,Mulheres,5 a 8 anos,3534.0,Mil pessoas
GR,2,Nordeste,2023,Mulheres,9 a 11 anos,2117.0,Mil pessoas
GR,2,Nordeste,2023,Mulheres,12 anos ou mais,9541.0,Mil pessoas
GR,2,Nordeste,2024,Homens,Sem instrução ou menos de 5 anos,4410.0,Mil pessoas
GR,2,Nordeste,2024,Homens,5 a 8 anos,3337.0,Mil pessoas
GR,2,Nordeste,2024,Homens,9 a 11 anos,1984.0,Mil pessoas
GR,2,Nordeste,2024,Homens,12 anos ou mais,7569.0,Mil pessoas
GR,2,Nordeste,2024,Mulheres,Sem instrução ou menos de 5 anos,4056.0,Mil pessoas
GR,2,Nordeste,2024,Mulheres,5 a 8 anos,3429.0,Mil pessoas
GR,2,Nordeste,2024,Mulheres,9 a 11 anos,2183.0,Mil pessoas
GR,2,Nordeste,2024,Mulheres,12 anos ou mais,9975.0,Mil pessoas
GR,3,Sudeste,2016,Homens,Sem instrução ou menos de 5 anos,3277.0,Mil pessoas
GR,3,Sudeste,2016,Homens,5 a 8 anos,5690.0,Mil pessoas
GR,3,Sudeste,2016,Homens,9 a 11 anos,3729.0,Mil pessoas
GR,3,Sudeste,2016,Homens,12 anos ou mais,13707.0,Mil pessoas
GR,3,Sudeste,2016,Mulheres,Sem instrução ou menos de 5 anos,3896.0,Mil pessoas
GR,3,Sudeste,2016,Mulheres,5 a 8 anos,6048.0,Mil pessoas
GR,3,Sudeste,2016,Mulheres,9 a 11 anos,3801.0,Mil pessoas
GR,3,Sudeste,2016,Mulheres,12 anos ou mais,15482.0,Mil pessoas
GR,3,Sudeste,2017,Homens,Sem instrução ou menos de 5 anos,2959.0,Mil pessoas
GR,3,Sudeste,2017,Homens,5 a 8 anos,5877.0,Mil pessoas
GR,3,Sudeste,2017,Homens,9 a 11 anos,3776.0,Mil pessoas
GR,3,Sudeste,2017,Homens,12 anos ou mais,14106.0,Mil pessoas
GR,3,Sudeste,2017,Mulheres,Sem instrução ou menos de 5 anos,3561.0,Mil pessoas
GR,3,Sudeste,2017,Mulheres,5 a 8 anos,6152.0,Mil pessoas
GR,3,Sudeste,2017,Mulheres,9 a 11 anos,3809.0,Mil pessoas
GR,3,Sudeste,2017,Mulheres,12 anos ou mais,16036.0,Mil pessoas
GR,3,Sudeste,2018,Homens,Sem instrução ou menos de 5 anos,2851.0,Mil pessoas
GR,3,Sudeste,2018,Homens,5 a 8 anos,5881.0,Mil pessoas
GR,3,Sudeste,2018,Homens,9 a 11 anos,3638.0,Mil pessoas
GR,3,Sudeste,2018,Homens,12 anos ou mais,14559.0,Mil pessoas
GR,3,Sudeste,2018,Mulheres,Sem instrução ou menos de 5 anos,3457.0,Mil pessoas
GR,3,Sudeste,2018,Mulheres,5 a 8 anos,6119.0,Mil pessoas
GR,3,Sudeste,2018,Mulheres,9 a 11 anos,3705.0,Mil pessoas
GR,3,Sudeste,2018,Mulheres,12 anos ou mais,16744.0,Mil pessoas
GR,3,Sudeste,2019,Homens,Sem instrução ou menos de 5 anos,2820.0,Mil pessoas
GR,3,Sudeste,2019,Homens,5 a 8 anos,5831.0,Mil pessoas
GR,3,Sudeste,2019,Homens,9 a 11 anos,3832.0,Mil pessoas
GR,3,Sudeste,2019,Homens,12 anos ou mais,15050.0,Mil pessoas
GR,3,Sudeste,2019,Mulheres,Sem instrução ou menos de 5 anos,3297.0,Mil pessoas
GR,3,Sudeste,2019,Mulheres,5 a 8 anos,6113.0,Mil pessoas
GR,3,Sudeste,2019,Mulheres,9 a 11 anos,3722.0,Mil pessoas
GR,3,Sudeste,2019,Mulheres,12 anos ou mais,17410.0,Mil pessoas
GR,3,Sudeste,2022,Homens,Sem instrução ou menos de 5 anos,2798.0,Mil pessoas
GR,3,Sudeste,2022,Homens,5 a 8 anos,5291.0,Mil pessoas
GR,3,Sudeste,2022,Homens,9 a 11 anos,3793.0,Mil pessoas
GR,3,Sudeste,2022,Homens,12 anos ou mais,16875.0,Mil pessoas
GR,3,Sudeste,2022,Mulheres,Sem instrução ou menos de 5 anos,3318.0,Mil pessoas
GR,3,Sudeste,2022,Mulheres,5 a 8 anos,5670.0,Mil pessoas
GR,3,Sudeste,2022,Mulheres,9 a 11 anos,3723.0,Mil pessoas
GR,3,Sudeste,2022,Mulheres,12 anos ou mais,19256.0,Mil pessoas
GR,3,Sudeste,2023,Homens,Sem instrução ou menos de 5 anos,2903.0,Mil pessoas
GR,3,Sudeste,2023,Homens,5 a 8 anos,5135.0,Mil pessoas
GR,3,Sudeste,2023,Homens,9 a 11 anos,3714.0,Mil pessoas
GR,3,Sudeste,2023,Homens,12 anos ou mais,17346.0,Mil pessoas
GR,3,Sudeste,2023,Mulheres,Sem instrução ou menos de 5 anos,3377.0,Mil pessoas
GR,3,Sudeste,2023,Mulheres,5 a 8 anos,5520.0,Mil pessoas
GR,3,Sudeste,2023,Mulheres,9 a 11 anos,3717.0,Mil pessoas
GR,3,Sudeste,2023,Mulheres,12 anos ou mais,19743.0,Mil pessoas
GR,3,Sudeste,2024,Homens,Sem instrução ou menos de 5 anos,2838.0,Mil pessoas
GR,3,Sudeste,2024,Homens,5 a 8 anos,5016.0,Mil pessoas
GR,3,Sudeste,2024,Homens,9 a 11 anos,3698.0,Mil pessoas
GR,3,Sudeste,2024,Homens,12 anos ou mais,18071.0,Mil pessoas
GR,3,Sudeste,2024,Mulheres,Sem instrução ou menos de 5 anos,3367.0,Mil pessoas
GR,3,Sudeste,2024,Mulheres,5 a 8 anos,5302.0,Mil pessoas
GR,3,Sudeste,2024,Mulheres,9 a 11 anos,3630.0,Mil pessoas
GR,3,Sudeste,2024,Mulheres,12 anos ou mais,20343.0,Mil pessoas
GR,4,Sul,2016,Homens,Sem instrução ou menos de 5 anos,1219.0,Mil pessoas
GR,4,Sul,2016,Homens,5 a 8 anos,2297.0,Mil pessoas
GR,4,Sul,2016,Homens,9 a 11 anos,1385.0,Mil pessoas
GR,4,Sul,2016,Homens,12 anos ou mais,4053.0,Mil pessoas
GR,4,Sul,2016,Mulheres,Sem instrução ou menos de 5 anos,1435.0,Mil pessoas
GR,4,Sul,2016,Mulheres,5 a 8 anos,2326.0,Mil pessoas
GR,4,Sul,2016,Mulheres,9 a 11 anos,1345.0,Mil pessoas
GR,4,Sul,2016,Mulheres,12 anos ou mais,4553.0,Mil pessoas
GR,4,Sul,2017,Homens,Sem instrução ou menos de 5 anos,1120.0,Mil pessoas
GR,4,Sul,2017,Homens,5 a 8 anos,2421.0,Mil pessoas
GR,4,Sul,2017,Homens,9 a 11 anos,1445.0,Mil pessoas
GR,4,Sul,2017,Homens,12 anos ou mais,4128.0,Mil pessoas
GR,4,Sul,2017,Mulheres,Sem instrução ou menos de 5 anos,1351.0,Mil pessoas
GR,4,Sul,2017,Mulheres,5 a 8 anos,2431.0,Mil pessoas
GR,4,Sul,2017,Mulheres,9 a 11 anos,1337.0,Mil pessoas
GR,4,Sul,2017,Mulheres,12 anos ou mais,4743.0,Mil pessoas
GR,4,Sul,2018,Homens,Sem instrução ou menos de 5 anos,1079.0,Mil pessoas
GR,4,Sul,2018,Homens,5 a 8 anos,2455.0,Mil pessoas
GR,4,Sul,2018,Homens,9 a 11 anos,1478.0,Mil pessoas
GR,4,Sul,2018,Homens,12 anos ou mais,4319.0,Mil pessoas
GR,4,Sul,2018,Mulheres,Sem instrução ou menos de 5 anos,1296.0,Mil pessoas
GR,4,Sul,2018,Mulheres,5 a 8 anos,2482.0,Mil pessoas
GR,4,Sul,2018,Mulheres,9 a 11 anos,1319.0,Mil pessoas
GR,4,Sul,2018,Mulheres,12 anos ou mais,4859.0,Mil pessoas
GR,4,Sul,2019,Homens,Sem instrução ou menos de 5 anos,1017.0,Mil pessoas
GR,4,Sul,2019,Homens,5 a 8 anos,2353.0,Mil pessoas
GR,4,Sul,2019,Homens,9 a 11 anos,1443.0,Mil pessoas
GR,4,Sul,2019,Homens,12 anos ou mais,4630.0,Mil pessoas
GR,4,Sul,2019,Mulheres,Sem instrução ou menos de 5 anos,1228.0,Mil pessoas
GR,4,Sul,2019,Mulheres,5 a 8 anos,2372.0,Mil pessoas
GR,4,Sul,2019,Mulheres,9 a 11 anos,1371.0,Mil pessoas
GR,4,Sul,2019,Mulheres,12 anos ou mais,5175.0,Mil pessoas
GR,4,Sul,2022,Homens,Sem instrução ou menos de 5 anos,1007.0,Mil pessoas
GR,4,Sul,2022,Homens,5 a 8 anos,2272.0,Mil pessoas
GR,4,Sul,2022,Homens,9 a 11 anos,1570.0,Mil pessoas
GR,4,Sul,2022,Homens,12 anos ou mais,5016.0,Mil pessoas
GR,4,Sul,2022,Mulheres,Sem instrução ou menos de 5 anos,1243.0,Mil pessoas
