"Tabela 7134 - Pessoas de 25 anos ou mais de idade, por cor ou raça e grupos de anos de estudo",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável - Pessoas de 25 anos ou mais de idade,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Cor ou raça,Grupos de anos de estudo,,
BR,1,Brasil,2016,Branca,Sem instrução ou menos de 5 anos,7615.0,Mil pessoas
BR,1,Brasil,2016,Branca,5 a 8 anos,11521.0,Mil pessoas
BR,1,Brasil,2016,Branca,9 a 11 anos,7083.0,Mil pessoas
BR,1,Brasil,2016,Branca,12 anos ou mais,32157.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Sem instrução ou menos de 5 anos,15817.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,5 a 8 anos,15377.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,9 a 11 anos,9143.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,12 anos ou mais,25400.0,Mil pessoas
BR,1,Brasil,2017,Branca,Sem instrução ou menos de 5 anos,6930.0,Mil pessoas
BR,1,Brasil,2017,Branca,5 a 8 anos,11667.0,Mil pessoas
BR,1,Brasil,2017,Branca,9 a 11 anos,6881.0,Mil pessoas
BR,1,Brasil,2017,Branca,12 anos ou mais,32335.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Sem instrução ou menos de 5 anos,14989.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,5 a 8 anos,16498.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,9 a 11 anos,9499.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,12 anos ou mais,27502.0,Mil pessoas
BR,1,Brasil,2018,Branca,Sem instrução ou menos de 5 anos,6544.0,Mil pessoas
BR,1,Brasil,2018,Branca,5 a 8 anos,11401.0,Mil pessoas
BR,1,Brasil,2018,Branca,9 a 11 anos,6627.0,Mil pessoas
BR,1,Brasil,2018,Branca,12 anos ou mais,33091.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Sem instrução ou menos de 5 anos,14606.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,5 a 8 anos,16862.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,9 a 11 anos,9526.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,12 anos ou mais,29386.0,Mil pessoas
BR,1,Brasil,2019,Branca,Sem instrução ou menos de 5 anos,6269.0,Mil pessoas
BR,1,Brasil,2019,Branca,5 a 8 anos,11155.0,Mil pessoas
BR,1,Brasil,2019,Branca,9 a 11 anos,6605.0,Mil pessoas
BR,1,Brasil,2019,Branca,12 anos ou mais,34086.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Sem instrução ou menos de 5 anos,14451.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,5 a 8 anos,16615.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,9 a 11 anos,9771.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,12 anos ou mais,31224.0,Mil pessoas
BR,1,Brasil,2022,Branca,Sem instrução ou menos de 5 anos,6502.0,Mil pessoas
BR,1,Brasil,2022,Branca,5 a 8 anos,10528.0,Mil pessoas
BR,1,Brasil,2022,Branca,9 a 11 anos,6878.0,Mil pessoas
BR,1,Brasil,2022,Branca,12 anos ou mais,37414.0,Mil pessoas
BR,1,Brasil,2022,Preta ou parda,Sem instrução ou menos de 5 anos,13630.0,Mil pessoas
BR,1,Brasil,2022,Preta ou parda,5 a 8 anos,15790.0,Mil pessoas
BR,1,Brasil,2022,Preta ou parda,9 a 11 anos,10155.0,Mil pessoas
BR,1,Brasil,2022,Preta ou parda,12 anos ou mais,35538.0,Mil pessoas
BR,1,Brasil,2023,Branca,Sem instrução ou menos de 5 anos,6467.0,Mil pessoas
BR,1,Brasil,2023,Branca,5 a 8 anos,10268.0,Mil pessoas
BR,1,Brasil,2023,Branca,9 a 11 anos,6668.0,Mil pessoas
BR,1,Brasil,2023,Branca,12 anos ou mais,38346.0,Mil pessoas
BR,1,Brasil,2023,Preta ou parda,Sem instrução ou menos de 5 anos,13769.0,Mil pessoas
BR,1,Brasil,2023,Preta ou parda,5 a 8 anos,15421.0,Mil pessoas
BR,1,Brasil,2023,Preta ou parda,9 a 11 anos,10107.0,Mil pessoas
BR,1,Brasil,2023,Preta ou parda,12 anos ou mais,37417.0,Mil pessoas
BR,1,Brasil,2024,Branca,Sem instrução ou menos de 5 anos,6312.0,Mil pessoas
BR,1,Brasil,2024,Branca,5 a 8 anos,9684.0,Mil pessoas
