"Tabela 7141 - Taxa ajustada de frequência escolar líquida, por sexo e faixa etária ideal por curso frequentado",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Variável,Ano,Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Sexo,Faixa etária ideal por curso frequentado,,
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Total,6 a 14 anos no ensino fundamental,96.7,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Total,6 a 10 anos nos anos iniciais do ensino fundamental,94.9,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Total,11 a 14 anos nos anos finais do ensino fundamental,84.8,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Total,15 a 17 anos no ensino médio,68.2,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Total,18 a 24 no ensino superior,23.1,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Homens,6 a 14 anos no ensino fundamental,96.6,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,94.7,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Homens,11 a 14 anos nos anos finais do ensino fundamental,82.4,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Homens,15 a 17 anos no ensino médio,63.4,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Homens,18 a 24 no ensino superior,19.7,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Mulheres,6 a 14 anos no ensino fundamental,96.8,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,95.1,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,87.2,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Mulheres,15 a 17 anos no ensino médio,73.3,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Mulheres,18 a 24 no ensino superior,26.4,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Total,6 a 14 anos no ensino fundamental,96.1,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Total,6 a 10 anos nos anos iniciais do ensino fundamental,94.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Total,11 a 14 anos nos anos finais do ensino fundamental,77.3,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Total,15 a 17 anos no ensino médio,58.5,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Total,18 a 24 no ensino superior,16.5,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Homens,6 a 14 anos no ensino fundamental,96.1,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,93.9,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Homens,11 a 14 anos nos anos finais do ensino fundamental,73.6,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Homens,15 a 17 anos no ensino médio,53.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Homens,18 a 24 no ensino superior,14.1,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Mulheres,6 a 14 anos no ensino fundamental,96.1,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,94.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,81.1,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Mulheres,15 a 17 anos no ensino médio,63.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Mulheres,18 a 24 no ensino superior,19.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Total,6 a 14 anos no ensino fundamental,96.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Total,6 a 10 anos nos anos iniciais do ensino fundamental,95.1,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Total,11 a 14 anos nos anos finais do ensino fundamental,80.4,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Total,15 a 17 anos no ensino médio,59.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Total,18 a 24 no ensino superior,17.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Homens,6 a 14 anos no ensino fundamental,96.6,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,95.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Homens,11 a 14 anos nos anos finais do ensino fundamental,76.9,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Homens,15 a 17 anos no ensino médio,51.4,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Homens,18 a 24 no ensino superior,13.8,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Mulheres,6 a 14 anos no ensino fundamental,96.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,95.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,84.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Mulheres,15 a 17 anos no ensino médio,66.8,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Mulheres,18 a 24 no ensino superior,20.1,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Total,6 a 14 anos no ensino fundamental,97.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Total,6 a 10 anos nos anos iniciais do ensino fundamental,95.3,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Total,11 a 14 anos nos anos finais do ensino fundamental,88.3,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Total,15 a 17 anos no ensino médio,76.9,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Total,18 a 24 no ensino superior,26.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Homens,6 a 14 anos no ensino fundamental,96.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,94.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Homens,11 a 14 anos nos anos finais do ensino fundamental,86.9,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Homens,15 a 17 anos no ensino médio,73.9,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Homens,18 a 24 no ensino superior,23.4,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Mulheres,6 a 14 anos no ensino fundamental,97.3,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,95.8,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,89.8,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Mulheres,15 a 17 anos no ensino médio,80.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Mulheres,18 a 24 no ensino superior,30.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Total,6 a 14 anos no ensino fundamental,96.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Total,6 a 10 anos nos anos iniciais do ensino fundamental,94.9,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Total,11 a 14 anos nos anos finais do ensino fundamental,87.9,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Total,15 a 17 anos no ensino médio,69.5,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Total,18 a 24 no ensino superior,26.8,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Homens,6 a 14 anos no ensino fundamental,96.6,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,95.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Homens,11 a 14 anos nos anos finais do ensino fundamental,86.3,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Homens,15 a 17 anos no ensino médio,65.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Homens,18 a 24 no ensino superior,22.4,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Mulheres,6 a 14 anos no ensino fundamental,96.8,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,94.9,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,89.6,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Mulheres,15 a 17 anos no ensino médio,74.3,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Mulheres,18 a 24 no ensino superior,31.3,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Total,6 a 14 anos no ensino fundamental,96.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Total,6 a 10 anos nos anos iniciais do ensino fundamental,94.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Total,11 a 14 anos nos anos finais do ensino fundamental,89.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Total,15 a 17 anos no ensino médio,70.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Total,18 a 24 no ensino superior,28.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Homens,6 a 14 anos no ensino fundamental,96.5,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,94.5,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Homens,11 a 14 anos nos anos finais do ensino fundamental,87.4,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Homens,15 a 17 anos no ensino médio,65.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Homens,18 a 24 no ensino superior,24.1,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Mulheres,6 a 14 anos no ensino fundamental,96.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,93.4,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,91.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Mulheres,15 a 17 anos no ensino médio,75.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Mulheres,18 a 24 no ensino superior,32.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Total,6 a 14 anos no ensino fundamental,97.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Total,6 a 10 anos nos anos iniciais do ensino fundamental,95.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Total,11 a 14 anos nos anos finais do ensino fundamental,81.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Total,15 a 17 anos no ensino médio,61.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Total,18 a 24 no ensino superior,18.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Homens,6 a 14 anos no ensino fundamental,97.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,95.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Homens,11 a 14 anos nos anos finais do ensino fundamental,76.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Homens,15 a 17 anos no ensino médio,56.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Homens,18 a 24 no ensino superior,15.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Mulheres,6 a 14 anos no ensino fundamental,97.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,96.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,86.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Mulheres,15 a 17 anos no ensino médio,65.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Mulheres,18 a 24 no ensino superior,21.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Total,6 a 14 anos no ensino fundamental,96.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Total,6 a 10 anos nos anos iniciais do ensino fundamental,95.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Total,11 a 14 anos nos anos finais do ensino fundamental,78.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Total,15 a 17 anos no ensino médio,66.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Total,18 a 24 no ensino superior,21.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Homens,6 a 14 anos no ensino fundamental,95.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,93.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Homens,11 a 14 anos nos anos finais do ensino fundamental,75.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Homens,15 a 17 anos no ensino médio,62.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Homens,18 a 24 no ensino superior,17.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Mulheres,6 a 14 anos no ensino fundamental,97.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,97.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,82.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Mulheres,15 a 17 anos no ensino médio,70.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Mulheres,18 a 24 no ensino superior,26.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Total,6 a 14 anos no ensino fundamental,94.8,%
