"Tabela 7142 - Taxa ajustada de frequência escolar líquida, por cor ou raça e faixa etária ideal por curso frequentado",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Variável,Ano,Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Cor ou raça,Faixa etária ideal por curso frequentado,,
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Branca,6 a 14 anos no ensino fundamental,96.9,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,95.0,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Branca,11 a 14 anos nos anos finais do ensino fundamental,88.5,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Branca,15 a 17 anos no ensino médio,76.0,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Branca,18 a 24 no ensino superior,32.5,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Preta ou parda,6 a 14 anos no ensino fundamental,96.6,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,94.9,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,82.3,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Preta ou parda,15 a 17 anos no ensino médio,63.1,%
Taxa ajustada de frequência escolar líquida,2016,BR,1,Brasil,Preta ou parda,18 a 24 no ensino superior,16.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Branca,6 a 14 anos no ensino fundamental,96.5,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,94.1,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Branca,11 a 14 anos nos anos finais do ensino fundamental,81.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Branca,15 a 17 anos no ensino médio,66.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Branca,18 a 24 no ensino superior,24.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Preta ou parda,6 a 14 anos no ensino fundamental,96.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,93.9,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,76.4,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Preta ou parda,15 a 17 anos no ensino médio,57.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,1,Norte,Preta ou parda,18 a 24 no ensino superior,14.6,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Branca,6 a 14 anos no ensino fundamental,96.6,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,94.8,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Branca,11 a 14 anos nos anos finais do ensino fundamental,83.1,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Branca,15 a 17 anos no ensino médio,62.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Branca,18 a 24 no ensino superior,25.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Preta ou parda,6 a 14 anos no ensino fundamental,96.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,95.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,79.6,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Preta ou parda,15 a 17 anos no ensino médio,58.1,%
Taxa ajustada de frequência escolar líquida,2016,GR,2,Nordeste,Preta ou parda,18 a 24 no ensino superior,14.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Branca,6 a 14 anos no ensino fundamental,96.9,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,95.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Branca,11 a 14 anos nos anos finais do ensino fundamental,90.4,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Branca,15 a 17 anos no ensino médio,83.5,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Branca,18 a 24 no ensino superior,35.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Preta ou parda,6 a 14 anos no ensino fundamental,97.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,95.6,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,86.3,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Preta ou parda,15 a 17 anos no ensino médio,70.6,%
Taxa ajustada de frequência escolar líquida,2016,GR,3,Sudeste,Preta ou parda,18 a 24 no ensino superior,17.4,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Branca,6 a 14 anos no ensino fundamental,96.9,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,95.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Branca,11 a 14 anos nos anos finais do ensino fundamental,89.8,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Branca,15 a 17 anos no ensino médio,72.5,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Branca,18 a 24 no ensino superior,31.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Preta ou parda,6 a 14 anos no ensino fundamental,96.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,94.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,83.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Preta ou parda,15 a 17 anos no ensino médio,61.5,%
Taxa ajustada de frequência escolar líquida,2016,GR,4,Sul,Preta ou parda,18 a 24 no ensino superior,13.4,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Branca,6 a 14 anos no ensino fundamental,97.2,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,95.6,%
