"Tabela 7414 - Rendimento médio mensal real domiciliar per capita, por situação do domicílio e existência de utilização da Internet no domicílio",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Variável,Nível,Cód.,Brasil e Grande Região,Ano,Situação do domicílio,Existência de utilização da Internet no domicílio,,
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2016,Urbana,Havia utilização de internet,2048.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2016,Urbana,Não havia utilização de internet,1039.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2016,Rural,Havia utilização de internet,1103.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2016,Rural,Não havia utilização de internet,681.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2017,Urbana,Havia utilização de internet,2061.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2017,Urbana,Não havia utilização de internet,1078.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2017,Rural,Havia utilização de internet,1039.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2017,Rural,Não havia utilização de internet,691.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2018,Urbana,Havia utilização de internet,2085.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2018,Urbana,Não havia utilização de internet,1105.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2018,Rural,Havia utilização de internet,997.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2018,Rural,Não havia utilização de internet,673.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2019,Urbana,Havia utilização de internet,2098.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2019,Urbana,Não havia utilização de internet,1090.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2019,Rural,Havia utilização de internet,975.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2019,Rural,Não havia utilização de internet,678.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2021,Urbana,Havia utilização de internet,1827.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2021,Urbana,Não havia utilização de internet,1042.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2021,Rural,Havia utilização de internet,925.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2021,Rural,Não havia utilização de internet,739.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2022,Urbana,Havia utilização de internet,2049.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2022,Urbana,Não havia utilização de internet,1179.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2022,Rural,Havia utilização de internet,1041.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2022,Rural,Não havia utilização de internet,817.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2023,Urbana,Havia utilização de internet,2128.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2023,Urbana,Não havia utilização de internet,1218.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2023,Rural,Havia utilização de internet,1061.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2023,Rural,Não havia utilização de internet,843.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2024,Urbana,Havia utilização de internet,2229.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2024,Urbana,Não havia utilização de internet,1368.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2024,Rural,Havia utilização de internet,1119.0,Reais
Rendimento médio mensal real domiciliar per capita,BR,1,Brasil,2024,Rural,Não havia utilização de internet,945.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2016,Urbana,Havia utilização de internet,1315.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2016,Urbana,Não havia utilização de internet,720.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2016,Rural,Havia utilização de internet,894.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2016,Rural,Não havia utilização de internet,526.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2017,Urbana,Havia utilização de internet,1394.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2017,Urbana,Não havia utilização de internet,724.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2017,Rural,Havia utilização de internet,894.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2017,Rural,Não havia utilização de internet,529.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2018,Urbana,Havia utilização de internet,1394.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2018,Urbana,Não havia utilização de internet,713.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2018,Rural,Havia utilização de internet,871.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2018,Rural,Não havia utilização de internet,519.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2019,Urbana,Havia utilização de internet,1371.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2019,Urbana,Não havia utilização de internet,722.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2019,Rural,Havia utilização de internet,840.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2019,Rural,Não havia utilização de internet,509.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2021,Urbana,Havia utilização de internet,1251.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2021,Urbana,Não havia utilização de internet,687.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2021,Rural,Havia utilização de internet,781.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2021,Rural,Não havia utilização de internet,526.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2022,Urbana,Havia utilização de internet,1466.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2022,Urbana,Não havia utilização de internet,895.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2022,Rural,Havia utilização de internet,900.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2022,Rural,Não havia utilização de internet,566.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2023,Urbana,Havia utilização de internet,1516.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2023,Urbana,Não havia utilização de internet,890.0,Reais
