"Tabela 7415 - Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet, por motivo de não haver utilização da Internet no domicílio",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável,Nível,Cód.,Brasil e Grande Região,Ano,Motivo de não haver utilização da Internet no domicílio,,
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2016,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,655.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2016,Serviço de acesso à Internet não estava disponível na área do domicílio,650.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2016,Falta de interesse em acessar a Internet,1242.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2016,Nenhum morador sabia usar a Internet,1218.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2016,Outro motivo,1012.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2017,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,659.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2017,Serviço de acesso à Internet não estava disponível na área do domicílio,674.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2017,Falta de interesse em acessar a Internet,1259.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2017,Nenhum morador sabia usar a Internet,1274.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2017,Outro motivo,883.0,Reais
