"Tabela 7427 - Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano, por classes simples de percentual das pessoas em ordem crescente de rendimento domiciliar per capita",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável,Ano,Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Classes de percentual das pessoas em ordem crescente de rendimento domiciliar per capita,,
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Até o P5,880.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Maior que o P5 até o P10,2353.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Até o P10,3233.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Maior que o P10 até o P20,7391.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Maior que o P20 até o P30,10570.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Maior que o P30 até o P40,13941.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Maior que o P40 até o P50,17691.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Maior que o P50 até o P60,22538.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Maior que o P60 até o P70,27701.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Maior que o P70 até o P80,36220.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Maior que o P80 até o P90,52321.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Maior que o P90,143510.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Maior que o P90 até o P95,41186.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Maior que o P95 até o P99,61734.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,BR,1,Brasil,Maior que o P99,40590.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Até o P5,57.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Maior que o P5 até o P10,137.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Até o P10,193.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Maior que o P10 até o P20,411.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Maior que o P20 até o P30,596.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Maior que o P30 até o P40,767.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Maior que o P40 até o P50,968.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Maior que o P50 até o P60,1211.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Maior que o P60 até o P70,1576.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Maior que o P70 até o P80,2046.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Maior que o P80 até o P90,2943.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Maior que o P90,8110.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Maior que o P90 até o P95,2277.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Maior que o P95 até o P99,3419.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,1,Norte,Maior que o P99,2415.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Até o P5,150.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Maior que o P5 até o P10,369.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Até o P10,519.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Maior que o P10 até o P20,1248.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Maior que o P20 até o P30,1832.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Maior que o P30 até o P40,2344.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Maior que o P40 até o P50,3012.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Maior que o P50 até o P60,3696.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Maior que o P60 até o P70,4691.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Maior que o P70 até o P80,6127.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Maior que o P80 até o P90,8450.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Maior que o P90,24988.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Maior que o P90 até o P95,6717.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Maior que o P95 até o P99,10807.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,2,Nordeste,Maior que o P99,7463.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Até o P5,649.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Maior que o P5 até o P10,1525.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Até o P10,2175.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Maior que o P10 até o P20,4467.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Maior que o P20 até o P30,5993.0,Milhões de Reais
