"Tabela 7444 - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, de todos os trabalhos, a preços médios do último ano, por sexo",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"Variável - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos, a preços médios do último ano",,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Sexo,,
BR,1,Brasil,2012,Homens,3286.0,Reais
BR,1,Brasil,2012,Mulheres,2414.0,Reais
BR,1,Brasil,2013,Homens,3404.0,Reais
BR,1,Brasil,2013,Mulheres,2491.0,Reais
BR,1,Brasil,2014,Homens,3490.0,Reais
BR,1,Brasil,2014,Mulheres,2594.0,Reais
BR,1,Brasil,2015,Homens,3341.0,Reais
BR,1,Brasil,2015,Mulheres,2519.0,Reais
BR,1,Brasil,2016,Homens,3327.0,Reais
BR,1,Brasil,2016,Mulheres,2572.0,Reais
BR,1,Brasil,2017,Homens,3323.0,Reais
BR,1,Brasil,2017,Mulheres,2552.0,Reais
BR,1,Brasil,2018,Homens,3369.0,Reais
BR,1,Brasil,2018,Mulheres,2650.0,Reais
BR,1,Brasil,2019,Homens,3376.0,Reais
BR,1,Brasil,2019,Mulheres,2617.0,Reais
BR,1,Brasil,2020,Homens,3469.0,Reais
BR,1,Brasil,2020,Mulheres,2720.0,Reais
BR,1,Brasil,2021,Homens,3227.0,Reais
BR,1,Brasil,2021,Mulheres,2581.0,Reais
BR,1,Brasil,2022,Homens,3186.0,Reais
BR,1,Brasil,2022,Mulheres,2513.0,Reais
BR,1,Brasil,2023,Homens,3414.0,Reais
BR,1,Brasil,2023,Mulheres,2702.0,Reais
BR,1,Brasil,2024,Homens,3549.0,Reais
BR,1,Brasil,2024,Mulheres,2793.0,Reais
GR,1,Norte,2012,Homens,2525.0,Reais
GR,1,Norte,2012,Mulheres,2131.0,Reais
GR,1,Norte,2013,Homens,2494.0,Reais
GR,1,Norte,2013,Mulheres,2115.0,Reais
GR,1,Norte,2014,Homens,2564.0,Reais
GR,1,Norte,2014,Mulheres,2079.0,Reais
GR,1,Norte,2015,Homens,2455.0,Reais
GR,1,Norte,2015,Mulheres,2099.0,Reais
GR,1,Norte,2016,Homens,2289.0,Reais
GR,1,Norte,2016,Mulheres,1998.0,Reais
GR,1,Norte,2017,Homens,2361.0,Reais
GR,1,Norte,2017,Mulheres,2055.0,Reais
GR,1,Norte,2018,Homens,2504.0,Reais
GR,1,Norte,2018,Mulheres,2146.0,Reais
GR,1,Norte,2019,Homens,2280.0,Reais
GR,1,Norte,2019,Mulheres,2102.0,Reais
GR,1,Norte,2020,Homens,2369.0,Reais
GR,1,Norte,2020,Mulheres,2218.0,Reais
GR,1,Norte,2021,Homens,2290.0,Reais
GR,1,Norte,2021,Mulheres,2045.0,Reais
GR,1,Norte,2022,Homens,2385.0,Reais
GR,1,Norte,2022,Mulheres,2087.0,Reais
GR,1,Norte,2023,Homens,2660.0,Reais
GR,1,Norte,2023,Mulheres,2316.0,Reais
GR,1,Norte,2024,Homens,2593.0,Reais
GR,1,Norte,2024,Mulheres,2245.0,Reais
GR,2,Nordeste,2012,Homens,2095.0,Reais
GR,2,Nordeste,2012,Mulheres,1757.0,Reais
GR,2,Nordeste,2013,Homens,2204.0,Reais
GR,2,Nordeste,2013,Mulheres,1827.0,Reais
GR,2,Nordeste,2014,Homens,2280.0,Reais
GR,2,Nordeste,2014,Mulheres,1878.0,Reais
GR,2,Nordeste,2015,Homens,2207.0,Reais
GR,2,Nordeste,2015,Mulheres,1861.0,Reais
GR,2,Nordeste,2016,Homens,2159.0,Reais
GR,2,Nordeste,2016,Mulheres,1865.0,Reais
GR,2,Nordeste,2017,Homens,2256.0,Reais
GR,2,Nordeste,2017,Mulheres,1865.0,Reais
GR,2,Nordeste,2018,Homens,2177.0,Reais
GR,2,Nordeste,2018,Mulheres,1900.0,Reais
GR,2,Nordeste,2019,Homens,2234.0,Reais
GR,2,Nordeste,2019,Mulheres,1920.0,Reais
GR,2,Nordeste,2020,Homens,2405.0,Reais
GR,2,Nordeste,2020,Mulheres,2059.0,Reais
GR,2,Nordeste,2021,Homens,2145.0,Reais
GR,2,Nordeste,2021,Mulheres,1871.0,Reais
GR,2,Nordeste,2022,Homens,2080.0,Reais
GR,2,Nordeste,2022,Mulheres,1797.0,Reais
GR,2,Nordeste,2023,Homens,2171.0,Reais
GR,2,Nordeste,2023,Mulheres,1929.0,Reais
GR,2,Nordeste,2024,Homens,2384.0,Reais
GR,2,Nordeste,2024,Mulheres,2050.0,Reais
GR,3,Sudeste,2012,Homens,3835.0,Reais
GR,3,Sudeste,2012,Mulheres,2661.0,Reais
GR,3,Sudeste,2013,Homens,3982.0,Reais
GR,3,Sudeste,2013,Mulheres,2759.0,Reais
GR,3,Sudeste,2014,Homens,4112.0,Reais
GR,3,Sudeste,2014,Mulheres,2915.0,Reais
GR,3,Sudeste,2015,Homens,3932.0,Reais
GR,3,Sudeste,2015,Mulheres,2820.0,Reais
GR,3,Sudeste,2016,Homens,3986.0,Reais
GR,3,Sudeste,2016,Mulheres,2915.0,Reais
GR,3,Sudeste,2017,Homens,3867.0,Reais
GR,3,Sudeste,2017,Mulheres,2819.0,Reais
GR,3,Sudeste,2018,Homens,3949.0,Reais
GR,3,Sudeste,2018,Mulheres,2999.0,Reais
GR,3,Sudeste,2019,Homens,3965.0,Reais
GR,3,Sudeste,2019,Mulheres,2927.0,Reais
GR,3,Sudeste,2020,Homens,4046.0,Reais
GR,3,Sudeste,2020,Mulheres,3019.0,Reais
GR,3,Sudeste,2021,Homens,3783.0,Reais
GR,3,Sudeste,2021,Mulheres,2914.0,Reais
GR,3,Sudeste,2022,Homens,3670.0,Reais
GR,3,Sudeste,2022,Mulheres,2811.0,Reais
GR,3,Sudeste,2023,Homens,3959.0,Reais
GR,3,Sudeste,2023,Mulheres,3021.0,Reais
GR,3,Sudeste,2024,Homens,4028.0,Reais
GR,3,Sudeste,2024,Mulheres,3077.0,Reais
GR,4,Sul,2012,Homens,3677.0,Reais
GR,4,Sul,2012,Mulheres,2547.0,Reais
GR,4,Sul,2013,Homens,3794.0,Reais
GR,4,Sul,2013,Mulheres,2648.0,Reais
GR,4,Sul,2014,Homens,3897.0,Reais
GR,4,Sul,2014,Mulheres,2717.0,Reais
GR,4,Sul,2015,Homens,3695.0,Reais
GR,4,Sul,2015,Mulheres,2645.0,Reais
GR,4,Sul,2016,Homens,3632.0,Reais
GR,4,Sul,2016,Mulheres,2676.0,Reais
GR,4,Sul,2017,Homens,3670.0,Reais
GR,4,Sul,2017,Mulheres,2741.0,Reais
GR,4,Sul,2018,Homens,3707.0,Reais
GR,4,Sul,2018,Mulheres,2762.0,Reais
GR,4,Sul,2019,Homens,3800.0,Reais
GR,4,Sul,2019,Mulheres,2772.0,Reais
GR,4,Sul,2020,Homens,3779.0,Reais
GR,4,Sul,2020,Mulheres,2802.0,Reais
GR,4,Sul,2021,Homens,3571.0,Reais
GR,4,Sul,2021,Mulheres,2633.0,Reais
GR,4,Sul,2022,Homens,3590.0,Reais
GR,4,Sul,2022,Mulheres,2679.0,Reais
GR,4,Sul,2023,Homens,3732.0,Reais
GR,4,Sul,2023,Mulheres,2840.0,Reais
GR,4,Sul,2024,Homens,4156.0,Reais
GR,4,Sul,2024,Mulheres,3100.0,Reais
GR,5,Centro-Oeste,2012,Homens,3813.0,Reais
GR,5,Centro-Oeste,2012,Mulheres,2778.0,Reais
GR,5,Centro-Oeste,2013,Homens,3936.0,Reais
GR,5,Centro-Oeste,2013,Mulheres,2747.0,Reais
GR,5,Centro-Oeste,2014,Homens,3916.0,Reais
GR,5,Centro-Oeste,2014,Mulheres,2938.0,Reais
GR,5,Centro-Oeste,2015,Homens,3792.0,Reais
GR,5,Centro-Oeste,2015,Mulheres,2768.0,Reais
GR,5,Centro-Oeste,2016,Homens,3653.0,Reais
GR,5,Centro-Oeste,2016,Mulheres,2787.0,Reais
GR,5,Centro-Oeste,2017,Homens,3733.0,Reais
GR,5,Centro-Oeste,2017,Mulheres,2901.0,Reais
GR,5,Centro-Oeste,2018,Homens,3788.0,Reais
GR,5,Centro-Oeste,2018,Mulheres,2858.0,Reais
GR,5,Centro-Oeste,2019,Homens,3677.0,Reais
GR,5,Centro-Oeste,2019,Mulheres,2810.0,Reais
GR,5,Centro-Oeste,2020,Homens,3715.0,Reais
GR,5,Centro-Oeste,2020,Mulheres,2981.0,Reais
GR,5,Centro-Oeste,2021,Homens,3552.0,Reais
GR,5,Centro-Oeste,2021,Mulheres,2811.0,Reais
GR,5,Centro-Oeste,2022,Homens,3728.0,Reais
GR,5,Centro-Oeste,2022,Mulheres,2711.0,Reais
GR,5,Centro-Oeste,2023,Homens,4052.0,Reais
GR,5,Centro-Oeste,2023,Mulheres,2922.0,Reais
GR,5,Centro-Oeste,2024,Homens,4075.0,Reais
GR,5,Centro-Oeste,2024,Mulheres,3033.0,Reais
UF,11,Rondônia,2012,Homens,2666.0,Reais
UF,11,Rondônia,2012,Mulheres,2128.0,Reais
UF,11,Rondônia,2013,Homens,2700.0,Reais
UF,11,Rondônia,2013,Mulheres,2077.0,Reais
UF,11,Rondônia,2014,Homens,2717.0,Reais
UF,11,Rondônia,2014,Mulheres,2030.0,Reais
UF,11,Rondônia,2015,Homens,2759.0,Reais
